PROP_SUB_TYPE_EN,ACTUAL_AREA,COMMON_AREA,ACTUAL_COMMON_AREA,BUILT_UP_AREA,BLD_LEVELS,SHOPS,FLATS,OFFICES,SWIMMING_POOLS,ELEVATORS,CREATION_DATE,IS_OFFPLAN_EN,PRE_REGISTRATION_NUMBER,IS_FREE_HOLD_EN,IS_LEASE_HOLD_EN,FLOORS,ROOMS_EN,CAR_PARKS,LAND_NUMBER,LAND_SUB_NUMBER,LAND_TYPE_EN,MASTER_PROJECT_EN,PROJECT_NUMBER,PROJECT_EN,AREA_EN,ZONE_EN
"Villa","659.3","0.7","935.73","960.22","","","","","","","2026-01-14 10:23:57","Ready","","Free Hold","No","4","5 B/R","3","4758","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","662.22","0.71","939.88","960.22","","","","","","","2026-01-14 10:23:57","Ready","","Free Hold","No","4","5 B/R","3","4770","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","719.4","0.77","1021.03","960.22","","","","","","","2026-01-14 10:23:58","Ready","","Free Hold","No","4","5 B/R","3","4786","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","673.19","0.72","955.44","915.75","","","","","","","2026-01-14 10:23:58","Ready","","Free Hold","No","4","5 B/R","3","4787","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","662.23","0.71","939.89","915.75","","","","","","","2026-01-14 10:23:57","Ready","","Free Hold","No","4","5 B/R","3","4762","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","662.23","0.71","939.89","960.22","","","","","","","2026-01-14 10:23:57","Ready","","Free Hold","No","4","5 B/R","3","4767","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","744.78","0.8","1057.05","915.75","","","","","","","2026-01-14 10:23:57","Ready","","Free Hold","No","4","5 B/R","3","4765","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","649","0.69","921.11","960.22","","","","","","","2026-01-14 10:23:56","Ready","","Free Hold","No","4","5 B/R","3","4746","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","690.21","0.74","979.6","960.22","","","","","","","2026-01-14 10:23:56","Ready","","Free Hold","No","4","5 B/R","3","4748","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","649","0.69","921.11","915.75","","","","","","","2026-01-14 10:23:56","Ready","","Free Hold","No","4","5 B/R","3","4745","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","687.74","0.73","976.1","960.22","","","","","","","2026-01-14 10:23:56","Ready","","Free Hold","No","4","5 B/R","3","4749","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","659.29","0.7","935.72","960.22","","","","","","","2026-01-14 10:23:57","Ready","","Free Hold","No","4","5 B/R","3","4761","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","679.93","0.73","965.01","915.75","","","","","","","2026-01-14 10:23:57","Ready","","Free Hold","No","4","5 B/R","3","4776","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","662.22","0.71","939.88","960.22","","","","","","","2026-01-14 10:23:57","Ready","","Free Hold","No","4","5 B/R","3","4764","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","659.18","0.7","935.56","960.22","","","","","","","2026-01-14 10:23:57","Ready","","Free Hold","No","4","5 B/R","3","4755","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","649","0.69","921.11","960.22","","","","","","","2026-01-14 10:23:58","Ready","","Free Hold","No","4","5 B/R","3","4791","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","649","0.69","921.11","915.75","","","","","","","2026-01-14 10:23:58","Ready","","Free Hold","No","4","5 B/R","3","4790","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","693.66","0.74","984.5","915.75","","","","","","","2026-01-14 10:23:56","Ready","","Free Hold","No","4","5 B/R","3","4751","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","649.12","0.69","921.28","960.22","","","","","","","2026-01-14 10:23:58","Ready","","Free Hold","No","4","5 B/R","3","4789","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","649","0.69","921.11","960.22","","","","","","","2026-01-14 10:23:58","Ready","","Free Hold","No","4","5 B/R","3","4783","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","780.2","0.83","1107.32","915.75","","","","","","","2026-01-14 10:23:57","Ready","","Free Hold","No","4","5 B/R","3","4753","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","661.15","0.71","938.36","960.22","","","","","","","2026-01-14 10:23:57","Ready","","Free Hold","No","4","5 B/R","3","4780","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","694.04","0.74","985.04","960.22","","","","","","","2026-01-14 10:23:56","Ready","","Free Hold","No","4","5 B/R","3","4752","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","649","0.69","921.11","960.22","","","","","","","2026-01-14 10:23:56","Ready","","Free Hold","No","4","5 B/R","3","4743","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","659.17","0.7","935.55","960.22","","","","","","","2026-01-14 10:23:57","Ready","","Free Hold","No","4","5 B/R","3","4754","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","1003.78","1.07","1424.64","960.22","","","","","","","2026-01-14 10:23:57","Ready","","Free Hold","No","4","5 B/R","3","4774","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","649","0.69","921.11","960.22","","","","","","","2026-01-14 10:23:56","Ready","","Free Hold","No","4","5 B/R","3","4744","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","662.22","0.71","939.88","915.75","","","","","","","2026-01-14 10:23:57","Ready","","Free Hold","No","4","5 B/R","3","4768","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
"Villa","661.21","0.71","938.44","915.75","","","","","","","2026-01-14 10:23:57","Ready","","Free Hold","No","4","5 B/R","3","4781","0","Commercial","","2423","Address Hillcrest","Hadaeq Sheikh Mohammed Bin Rashid","Dubai"
